n,m,ptype,best_distance,nsolutions
5,49,cw,207,1
5,49,cw,214,1
5,49,cw,217,2
5,49,cw,223,1
5,49,cw,222,1
5,49,cw,226,1
5,49,cw,226,1
5,49,cw,226,1
5,49,cw,226,2
5,49,cw,229,3
5,49,cw,222,2
5,49,cw,218,1
5,49,cw,213,1
5,49,cw,219,1
5,49,cw,231,2
5,49,cw,228,2
5,49,cw,229,1
5,49,cw,227,1
5,49,cw,220,2
5,49,cw,220,1
5,49,cw,220,1
5,49,cw,225,1
5,49,cw,215,1
5,49,cw,228,1
5,49,cw,210,1
5,49,cw,216,1
5,49,cw,219,2
5,49,cw,211,1
5,49,cw,218,1
5,49,cw,225,1
5,49,cw,217,1
5,49,cw,231,2
5,49,cw,218,1
5,49,cw,225,2
5,49,cw,222,1
5,49,cw,210,3
5,49,cw,217,1
5,49,cw,222,2
5,49,cw,215,2
5,49,cw,231,2
5,49,cw,206,2
5,49,cw,224,2
5,49,cw,219,1
5,49,cw,221,2
5,49,cw,215,2
5,49,cw,217,1
5,49,cw,221,2
5,49,cw,231,1
5,49,cw,217,1
5,49,cw,219,1
