n,m,ptype,best_distance,nsolutions
6,100,cr,644,1
6,100,cr,671,1
6,100,cr,695,1
6,100,cr,682,1
6,100,cr,714,1
6,100,cr,670,1
6,100,cr,677,1
6,100,cr,706,1
6,100,cr,661,1
6,100,cr,696,1
6,100,cr,710,1
6,100,cr,652,1
6,100,cr,663,1
6,100,cr,672,1
6,100,cr,680,1
6,100,cr,684,1
6,100,cr,695,1
6,100,cr,703,1
6,100,cr,689,1
6,100,cr,685,1
6,100,cr,677,1
6,100,cr,691,1
6,100,cr,683,1
6,100,cr,660,1
6,100,cr,680,1
6,100,cr,691,1
6,100,cr,670,1
6,100,cr,663,1
6,100,cr,655,1
6,100,cr,687,1
6,100,cr,676,1
6,100,cr,700,1
6,100,cr,674,1
6,100,cr,716,1
6,100,cr,673,1
6,100,cr,688,1
6,100,cr,693,1
6,100,cr,677,1
6,100,cr,665,1
6,100,cr,686,1
6,100,cr,668,1
6,100,cr,699,1
6,100,cr,669,1
6,100,cr,689,1
6,100,cr,656,1
6,100,cr,696,1
6,100,cr,694,1
6,100,cr,667,1
6,100,cr,683,1
6,100,cr,680,1
