n,m,ptype,best_distance,nsolutions
6,99,nc,700,1
6,99,nc,667,1
6,99,nc,699,1
6,99,nc,689,2
6,99,nc,704,1
6,99,nc,667,3
6,99,nc,674,1
6,99,nc,654,1
6,99,nc,686,1
6,99,nc,697,1
6,99,nc,697,1
6,99,nc,697,1
6,99,nc,720,1
6,99,nc,688,1
6,99,nc,715,1
6,99,nc,704,1
6,99,nc,711,1
6,99,nc,680,3
6,99,nc,688,1
6,99,nc,680,1
6,99,nc,707,4
6,99,nc,695,2
6,99,nc,679,2
6,99,nc,698,1
6,99,nc,707,1
6,99,nc,714,2
6,99,nc,682,1
6,99,nc,698,1
6,99,nc,683,1
6,99,nc,710,1
6,99,nc,713,1
6,99,nc,707,3
6,99,nc,660,1
6,99,nc,683,1
6,99,nc,694,1
6,99,nc,696,2
6,99,nc,702,1
6,99,nc,678,3
6,99,nc,695,2
6,99,nc,689,1
6,99,nc,688,2
6,99,nc,682,1
6,99,nc,690,1
6,99,nc,697,1
6,99,nc,704,3
6,99,nc,693,1
6,99,nc,684,1
6,99,nc,696,1
6,99,nc,686,3
6,99,nc,700,1
