n,m,ptype,best_distance,nsolutions
4,10,cr,23,1
4,10,cr,20,1
4,10,cr,20,1
4,10,cr,20,1
4,10,cr,19,1
4,10,cr,19,1
4,10,cr,20,1
4,10,cr,23,1
4,10,cr,21,1
4,10,cr,21,1
4,10,cr,18,1
4,10,cr,21,1
4,10,cr,20,1
4,10,cr,18,1
4,10,cr,24,1
4,10,cr,16,1
4,10,cr,20,1
4,10,cr,22,1
4,10,cr,20,1
4,10,cr,20,1
4,10,cr,15,1
4,10,cr,17,1
4,10,cr,20,1
4,10,cr,15,1
4,10,cr,23,1
4,10,cr,20,1
4,10,cr,21,1
4,10,cr,19,1
4,10,cr,21,1
4,10,cr,20,1
4,10,cr,21,1
4,10,cr,21,1
4,10,cr,21,1
4,10,cr,18,1
4,10,cr,16,1
4,10,cr,18,1
4,10,cr,21,1
4,10,cr,21,1
4,10,cr,22,1
4,10,cr,21,1
4,10,cr,18,1
4,10,cr,20,1
4,10,cr,19,1
4,10,cr,20,1
4,10,cr,22,1
4,10,cr,18,1
4,10,cr,19,1
4,10,cr,19,1
4,10,cr,22,1
4,10,cr,20,1
