n,m,ptype,best_distance,nsolutions
6,100,cw,675,1
6,100,cw,694,2
6,100,cw,692,1
6,100,cw,704,3
6,100,cw,677,1
6,100,cw,710,2
6,100,cw,716,2
6,100,cw,700,1
6,100,cw,701,1
6,100,cw,717,1
6,100,cw,704,1
6,100,cw,697,4
6,100,cw,696,2
6,100,cw,685,4
6,100,cw,691,1
6,100,cw,705,2
6,100,cw,694,1
6,100,cw,706,1
6,100,cw,703,10
6,100,cw,699,1
6,100,cw,679,2
6,100,cw,683,1
6,100,cw,651,2
6,100,cw,698,1
6,100,cw,677,3
6,100,cw,718,1
6,100,cw,676,1
6,100,cw,682,3
6,100,cw,691,1
6,100,cw,689,1
6,100,cw,661,2
6,100,cw,718,1
6,100,cw,705,3
6,100,cw,687,2
6,100,cw,689,1
6,100,cw,701,2
6,100,cw,712,2
6,100,cw,672,2
6,100,cw,682,1
6,100,cw,703,3
6,100,cw,700,3
6,100,cw,704,2
6,100,cw,699,3
6,100,cw,660,2
6,100,cw,720,2
6,100,cw,678,2
6,100,cw,680,2
6,100,cw,705,2
6,100,cw,674,2
6,100,cw,690,1
