n,m,ptype,best_distance,nsolutions
6,10,nc,61,3
6,10,nc,58,2
6,10,nc,56,10
6,10,nc,57,6
6,10,nc,64,2
6,10,nc,65,5
6,10,nc,57,8
6,10,nc,61,2
6,10,nc,57,4
6,10,nc,48,2
6,10,nc,58,16
6,10,nc,48,2
6,10,nc,56,2
6,10,nc,52,18
6,10,nc,65,6
6,10,nc,56,7
6,10,nc,60,2
6,10,nc,49,2
6,10,nc,60,2
6,10,nc,68,22
6,10,nc,64,12
6,10,nc,61,9
6,10,nc,53,3
6,10,nc,67,4
6,10,nc,60,4
6,10,nc,61,7
6,10,nc,58,7
6,10,nc,59,2
6,10,nc,49,4
6,10,nc,57,3
6,10,nc,60,8
6,10,nc,51,5
6,10,nc,58,3
6,10,nc,58,8
6,10,nc,56,14
6,10,nc,63,1
6,10,nc,63,5
6,10,nc,60,2
6,10,nc,60,10
6,10,nc,61,15
6,10,nc,66,4
6,10,nc,44,1
6,10,nc,52,5
6,10,nc,64,3
6,10,nc,57,1
6,10,nc,57,5
6,10,nc,58,2
6,10,nc,53,6
6,10,nc,61,15
6,10,nc,57,2
